Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
20495,0.38,Premium,G,SI1,59.5,62.0,4.71,4.67,2.79,855
3377,0.53,Ideal,G,VVS1,61.2,55.0,5.19,5.23,3.19,2005
18163,0.42,Ideal,G,VVS1,60.0,57.0,4.84,4.86,2.91,1179
11747,0.9,Premium,E,VS2,59.5,58.0,6.33,6.28,3.75,5312
20883,0.41,Premium,E,SI1,61.3,58.0,4.76,4.8,2.93,755
508,0.52,Ideal,E,VS2,61.5,56.0,5.17,5.14,3.17,1767
18788,1.09,Very Good,F,VVS1,61.4,58.0,6.6,6.65,4.07,10463
20762,0.93,Premium,F,SI1,61.1,59.0,6.32,6.29,3.85,4182
20310,0.58,Very Good,I,VVS1,63.0,57.0,5.31,5.35,3.36,1790
9,1.21,Good,H,SI1,63.8,64.0,6.72,6.63,4.26,5407
13292,1.3,Premium,J,SI2,61.1,61.0,7.0,6.95,4.26,5140
24847,0.7,Ideal,H,SI1,61.4,57.0,5.73,5.7,3.51,2383
2926,1.22,Premium,H,VS2,60.8,59.0,6.93,6.86,4.19,7310
14558,0.3,Ideal,H,SI1,62.2,57.0,4.27,4.31,2.67,450
26793,1.21,Ideal,E,SI1,62.1,56.0,6.83,6.88,4.26,7955
17917,0.3,Premium,G,IF,61.0,62.0,4.34,4.32,2.64,956
11966,1.51,Ideal,G,SI1,62.9,57.0,7.3,7.27,4.58,11255
26483,0.39,Ideal,G,SI2,62.0,55.0,4.69,4.73,2.92,683
7924,0.72,Very Good,I,VS1,63.8,59.0,5.63,5.71,3.62,2441
3486,1.01,Ideal,G,IF,62.2,61.0,6.34,6.4,3.96,8957
26838,0.26,Ideal,I,VS1,61.6,54.0,4.08,4.12,2.53,578
17813,0.51,Ideal,E,SI2,62.7,53.0,5.12,5.09,3.2,1265
1146,0.71,Good,F,IF,62.1,62.0,5.68,5.79,3.56,3393
9602,0.73,Very Good,E,SI1,63.2,58.0,5.71,5.74,3.62,2679
6001,1.09,Ideal,E,SI1,61.1,55.0,6.66,6.7,4.08,5935
4019,0.3,Very Good,D,SI1,60.6,60.0,4.3,4.32,2.61,552
17522,0.31,Ideal,E,VVS1,61.1,56.0,4.38,4.42,2.69,865
360,0.31,Ideal,E,IF,61.9,56.0,4.35,4.37,2.7,1060
